"","season","route_id","direction_id","day_type_name","time_period_id","time_period_name","on_off","number_service_days","slider_ref","total_riders","avg_riders"
"1","Fall 2019","Blue",0,"weekday","time_period_01","VERY_EARLY_MORNING","on",77,1,178032,2312.1038961039
"2","Fall 2019","Green",0,"weekday","time_period_01","VERY_EARLY_MORNING","on",77,1,75139,975.831168831169
"3","Fall 2019","Orange",0,"weekday","time_period_01","VERY_EARLY_MORNING","on",77,1,123237,1600.48051948052
"4","Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","on",77,1,72147,936.974025974026
"5","Fall 2019","Blue",0,"weekday","time_period_02","EARLY_AM","on",77,2,312942,4064.18181818182
"6","Fall 2019","Green",0,"weekday","time_period_02","EARLY_AM","on",77,2,225023,2922.37662337662
"7","Fall 2019","Orange",0,"weekday","time_period_02","EARLY_AM","on",77,2,447822,5815.87012987013
"8","Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","on",77,2,307601,3994.81818181818
"9","Fall 2019","Blue",0,"weekday","time_period_03","AM_PEAK","on",77,3,941635,12229.025974026
"10","Fall 2019","Green",0,"weekday","time_period_03","AM_PEAK","on",77,3,1049478,13629.5844155844
"11","Fall 2019","Orange",0,"weekday","time_period_03","AM_PEAK","on",77,3,1667887,21660.8701298701
"12","Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","on",77,3,1885930,24492.5974025974
"13","Fall 2019","Blue",0,"weekday","time_period_04","MIDDAY_BASE","on",77,4,672101,8728.58441558442
"14","Fall 2019","Green",0,"weekday","time_period_04","MIDDAY_BASE","on",77,4,1182821,15361.3116883117
"15","Fall 2019","Orange",0,"weekday","time_period_04","MIDDAY_BASE","on",77,4,1488814,19335.2467532468
"16","Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","on",77,4,1749774,22724.3376623377
"17","Fall 2019","Blue",0,"weekday","time_period_05","MIDDAY_SCHOOL","on",77,5,381021,4948.32467532467
"18","Fall 2019","Green",0,"weekday","time_period_05","MIDDAY_SCHOOL","on",77,5,813108,10559.8441558442
"19","Fall 2019","Orange",0,"weekday","time_period_05","MIDDAY_SCHOOL","on",77,5,1011581,13137.4155844156
"20","Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","on",77,5,1373074,17832.1298701299
"21","Fall 2019","Blue",0,"weekday","time_period_06","PM_PEAK","on",77,6,323741,4204.42857142857
"22","Fall 2019","Green",0,"weekday","time_period_06","PM_PEAK","on",77,6,1409632,18306.9090909091
"23","Fall 2019","Orange",0,"weekday","time_period_06","PM_PEAK","on",77,6,1591669,20671.025974026
"24","Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","on",77,6,2744100,35637.6623376623
"25","Fall 2019","Blue",0,"weekday","time_period_07","EVENING","on",77,7,153246,1990.20779220779
"26","Fall 2019","Green",0,"weekday","time_period_07","EVENING","on",77,7,864459,11226.7402597403
"27","Fall 2019","Orange",0,"weekday","time_period_07","EVENING","on",77,7,778603,10111.7272727273
"28","Fall 2019","Red",0,"weekday","time_period_07","EVENING","on",77,7,1354854,17595.5064935065
"29","Fall 2019","Blue",0,"weekday","time_period_08","LATE_EVENING","on",77,8,53509,694.922077922078
"30","Fall 2019","Green",0,"weekday","time_period_08","LATE_EVENING","on",77,8,232979,3025.7012987013
"31","Fall 2019","Orange",0,"weekday","time_period_08","LATE_EVENING","on",77,8,192302,2497.42857142857
"32","Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","on",77,8,344276,4471.11688311688
"33","Fall 2019","Blue",0,"weekday","time_period_09","NIGHT","on",77,9,7585,98.5064935064935
"34","Fall 2019","Green",0,"weekday","time_period_09","NIGHT","on",77,9,30038,390.103896103896
"35","Fall 2019","Orange",0,"weekday","time_period_09","NIGHT","on",77,9,27497,357.103896103896
"36","Fall 2019","Red",0,"weekday","time_period_09","NIGHT","on",77,9,44322,575.61038961039
