"","stop_name","route_id","Order","X","Y","season","direction_id","number_service_days","time_period_id","time_period_name","on","off","Alt","slider_ref","timeDisplay"
"4","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_07","EVENING",26725,86940,0,7,"18:30 to 22:00"
"5","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_03","AM_PEAK",132003,14894,0,3,"07:00 to 09:00"
"6","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_06","PM_PEAK",65603,11094,0,6,"16:00 to 18:30"
"7","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_03","AM_PEAK",7292,23896,0,3,"07:00 to 09:00"
"8","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_09","NIGHT",2453,317,0,9,"24:00 to +03:00"
"9","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",20984,5968,0,1,"03:00 to 06:00"
"14","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",115809,24723,0,4,"09:00 to 13:30"
"16","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_07","EVENING",37882,7480,0,7,"18:30 to 22:00"
"18","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_06","PM_PEAK",23759,135525,0,6,"16:00 to 18:30"
"20","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",14107,55763,0,4,"09:00 to 13:30"
"23","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_02","EARLY_AM",42753,8088,0,2,"06:00 to 07:00"
"26","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_02","EARLY_AM",2197,13372,0,2,"06:00 to 07:00"
"28","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_08","LATE_EVENING",21548,53418,0,8,"22:00 to 24:00"
"29","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",1138,4408,0,1,"03:00 to 06:00"
"39","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_08","LATE_EVENING",19339,3224,0,8,"22:00 to 24:00"
"45","Airport","Blue",49,520,300,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",78869,14038,0,5,"13:30 to 16:00"
"46","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",23529,83955,0,5,"13:30 to 16:00"
"53","Airport","Blue",49,520,300,"Fall 2019",1,77,"time_period_09","NIGHT",5118,12023,0,9,"24:00 to +03:00"
"55","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",0,7794,0,1,"03:00 to 06:00"
"58","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_08","LATE_EVENING",9202,0,0,8,"22:00 to 24:00"
"59","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_02","EARLY_AM",72111,0,0,2,"06:00 to 07:00"
"65","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_07","EVENING",58141,0,0,7,"18:30 to 22:00"
"68","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_02","EARLY_AM",0,25144,0,2,"06:00 to 07:00"
"71","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_09","NIGHT",603,0,0,9,"24:00 to +03:00"
"72","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",196752,0,0,4,"09:00 to 13:30"
"74","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",0,132451,0,5,"13:30 to 16:00"
"79","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_09","NIGHT",0,1737,0,9,"24:00 to +03:00"
"80","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",7839,0,0,1,"03:00 to 06:00"
"81","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",0,84168,0,4,"09:00 to 13:30"
"83","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_06","PM_PEAK",0,408993,0,6,"16:00 to 18:30"
"85","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_06","PM_PEAK",152376,0,0,6,"16:00 to 18:30"
"88","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_08","LATE_EVENING",0,32378,0,8,"22:00 to 24:00"
"93","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_03","AM_PEAK",372451,0,0,3,"07:00 to 09:00"
"97","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_03","AM_PEAK",0,96646,0,3,"07:00 to 09:00"
"98","Alewife","Red",21,190,130,"Fall 2019",1,77,"time_period_07","EVENING",0,165086,0,7,"18:30 to 22:00"
"103","Alewife","Red",21,190,130,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",59955,0,0,5,"13:30 to 16:00"
"109","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_07","EVENING",745,9213,1,7,"18:30 to 22:00"
"114","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_08","LATE_EVENING",238,159,1,8,"22:00 to 24:00"
"115","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_03","AM_PEAK",1028,818,1,3,"07:00 to 09:00"
"116","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",3493,257,1,5,"13:30 to 16:00"
"119","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",1055,3560,1,4,"09:00 to 13:30"
"120","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_08","LATE_EVENING",97,2735,1,8,"22:00 to 24:00"
"123","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_06","PM_PEAK",3068,478,1,6,"16:00 to 18:30"
"124","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_02","EARLY_AM",126,229,1,2,"06:00 to 07:00"
"135","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_02","EARLY_AM",1733,71,1,2,"06:00 to 07:00"
"136","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",11069,447,1,4,"09:00 to 13:30"
"148","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",462,4,1,1,"03:00 to 06:00"
"149","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",706,4528,1,5,"13:30 to 16:00"
"150","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_09","NIGHT",13,443,1,9,"24:00 to +03:00"
"152","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",0,17,1,1,"03:00 to 06:00"
"156","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_07","EVENING",1677,333,1,7,"18:30 to 22:00"
"157","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_03","AM_PEAK",11397,260,1,3,"07:00 to 09:00"
"158","Allston Street","Green",106,190,340,"Fall 2019",0,77,"time_period_06","PM_PEAK",978,9838,1,6,"16:00 to 18:30"
"159","Allston Street","Green",106,190,340,"Fall 2019",1,77,"time_period_09","NIGHT",6,5,1,9,"24:00 to +03:00"
