"","stop_name","Order","X","Y","Alt","season","route_id","direction_id","day_type_name","time_period_id","time_period_name","stop_id","on","off","slider_ref"
"1","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-alfcl",7839,0,1
"2","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-davis",8833,77,1
"3","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-portr",6098,409,1
"4","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-harsq",12062,1688,1
"5","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-cntsq",7345,2808,1
"6","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-knncl",1389,5162,1
"7","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-chmnl",1011,5657,1
"8","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-pktrm",9017,8272,1
"9","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-dwnxg",10933,9313,1
"10","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-sstat",1852,11147,1
"11","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-brdwy",1450,3157,1
"12","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-andrw",1732,5861,1
"13","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-jfk",1600,2164,1
"14","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-shmnl",241,303,1
"15","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-nqncy",18,1725,1
"16","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-fldcr",628,1822,1
"17","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-wlsta",2,234,1
"18","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-smmnl",97,462,1
"19","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-qnctr",0,4525,1
"20","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-asmnl",0,3853,1
"21","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-qamnl",0,1585,1
"22","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_01","VERY_EARLY_MORNING","place-brntn",0,1923,1
"23","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-alfcl",72111,0,2
"24","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-davis",43926,550,2
"25","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-portr",28278,1548,2
"26","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-harsq",27623,7437,2
"27","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-cntsq",21951,18096,2
"28","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-knncl",6930,25192,2
"29","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-chmnl",3257,32451,2
"30","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-pktrm",27070,36978,2
"31","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-dwnxg",40055,32616,2
"32","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-sstat",8111,48876,2
"33","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-brdwy",4434,12317,2
"34","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-andrw",6553,13627,2
"35","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-jfk",6176,17447,2
"36","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-shmnl",1662,1696,2
"37","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-nqncy",2371,9448,2
"38","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-fldcr",3741,6481,2
"39","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-wlsta",1392,1521,2
"40","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-smmnl",462,2710,2
"41","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-qnctr",1388,13430,2
